Record_ID,Task_ID,Device_ID,Server_ID,Task_Type,Device_Class,Mobility_Status,Data_Size_MB,Comp_Demand_Cycles,Bandwidth_Mbps,Latency_ms,CPU_Freq_GHz,Memory_MB,Task_Offloaded,Overload_Flag,Chaos_Flag,Energy_Consumption_J,Timestamp
75,1382,353,4,AR_VR_App,Low-End,Static,3.68,7169362664,89.48,15.16,3.03,26346,Yes,Yes,No,15.51,2024-03-31 23:20:12
76,1727,161,4,Data_Upload,Mid-End,Static,3.78,9552221137,23.39,8.89,4.63,10831,Yes,Yes,No,12.43,2024-04-19 04:03:41
77,790,325,2,Video_Stream,Mid-End,Static,3.97,1990334070,94.25,32.16,3.71,10990,Yes,Yes,No,19.39,2024-04-07 15:49:45
78,18,82,10,AR_VR_App,Mid-End,Slow,0.83,7948555351,41.54,35.94,3.68,10990,Yes,Yes,No,4.09,2024-03-03 16:31:10
79,213,265,10,Video_Stream,High-End,Slow,2.11,5631825996,44.18,18.27,3.47,29079,Yes,Yes,No,6.47,2024-01-23 09:35:22
80,1747,42,7,Health_Monitor,Low-End,Slow,1.02,8325001607,51.66,32.13,4.31,29700,Yes,Yes,No,11.92,2024-05-30 06:30:16
81,514,479,8,Video_Stream,Low-End,Fast,4.38,405609491,74.64,39.92,4.57,21720,Yes,Yes,No,10.99,2024-05-31 03:52:27
82,1118,199,7,Health_Monitor,Low-End,Static,3.3,8235128991,74.77,20.64,4.3,8434,Yes,Yes,No,11.22,2024-07-01 10:51:57
83,857,383,10,Data_Upload,Low-End,Static,1.99,3729598003,53.16,28.64,3.71,5195,Yes,Yes,No,8.48,2024-07-04 18:29:00
84,922,207,8,Video_Stream,Mid-End,Static,0.79,5157030438,57.08,11.6,3.0,17347,Yes,Yes,No,17.66,2024-06-26 07:14:31
85,807,110,9,AR_VR_App,Mid-End,Slow,1.9,6519248559,12.7,6.06,3.85,26787,Yes,Yes,No,3.4,2024-03-02 13:36:49
86,1041,132,8,Data_Upload,Mid-End,Slow,1.96,1206628495,37.39,49.16,4.32,5056,Yes,Yes,Yes,17.77,2024-03-04 19:38:17
87,1263,430,5,Data_Upload,Mid-End,Static,3.78,663161288,41.14,18.49,3.53,4514,Yes,Yes,No,16.08,2024-06-06 00:01:14
88,528,231,4,Health_Monitor,Low-End,Slow,3.37,2055774050,60.29,17.55,4.98,29939,Yes,Yes,No,16.3,2024-06-24 11:48:07
89,1691,72,5,Data_Upload,Low-End,Slow,4.49,8834461687,60.25,48.8,4.84,14819,Yes,Yes,Yes,18.43,2024-05-27 00:42:32
90,177,408,1,Video_Stream,Low-End,Static,2.62,2013312065,73.89,37.77,4.83,18668,Yes,Yes,No,12.42,2024-02-20 13:12:56
91,1155,328,5,Video_Stream,Mid-End,Static,1.04,6378531096,74.53,31.34,3.98,5714,Yes,Yes,No,17.65,2024-04-10 08:43:05
92,298,124,6,Health_Monitor,High-End,Slow,3.71,4485987327,31.17,36.47,3.88,24087,Yes,Yes,No,9.59,2024-02-06 08:46:11
93,1087,197,9,Video_Stream,High-End,Fast,3.92,9667000520,79.32,36.95,3.83,31215,Yes,Yes,No,14.47,2024-06-16 02:52:02
94,998,279,9,Health_Monitor,Mid-End,Static,3.03,2142774988,11.76,39.35,3.67,8060,Yes,Yes,No,7.83,2024-02-13 17:41:39
95,797,107,10,Control_Command,Low-End,Static,3.97,6217735517,74.45,8.02,2.9,12723,Yes,Yes,No,16.61,2024-02-09 19:23:42
96,1154,439,3,Health_Monitor,Mid-End,Slow,2.72,2428462862,19.19,23.58,4.69,29377,Yes,Yes,No,3.11,2024-02-24 04:40:28
97,363,354,8,AR_VR_App,Mid-End,Static,2.85,7356930246,75.67,18.28,4.54,29325,Yes,Yes,No,17.29,2024-07-09 17:18:16
98,616,143,8,AR_VR_App,Low-End,Slow,2.42,6410695498,57.44,8.18,4.36,12327,Yes,Yes,No,4.56,2024-06-11 06:00:43
99,1294,51,9,Video_Stream,High-End,Fast,0.61,9104615726,49.35,23.57,4.22,26350,Yes,Yes,No,5.23,2024-03-30 19:12:43
100,268,123,1,Control_Command,Low-End,Slow,0.99,905783052,72.16,32.73,3.67,5883,Yes,Yes,No,15.74,2024-06-26 15:24:21
101,500,50,5,AR_VR_App,Mid-End,Static,0.64,4487944340,13.27,13.03,4.99,5737,Yes,Yes,No,6.64,2024-03-17 19:38:06
102,1816,431,5,AR_VR_App,Mid-End,Static,3.36,4334008052,30.11,18.73,3.6,11627,Yes,Yes,No,11.1,2024-07-17 07:19:25
103,1564,339,7,AR_VR_App,High-End,Static,1.91,2965560730,65.48,33.76,3.16,28658,Yes,Yes,No,11.23,2024-07-23 11:20:57
104,1511,281,8,Video_Stream,Low-End,Static,2.79,9741512470,86.25,31.07,3.33,10477,Yes,Yes,No,9.07,2024-05-04 23:39:40
105,914,39,7,Data_Upload,Low-End,Static,4.58,9599605607,44.3,44.1,4.29,23418,Yes,Yes,Yes,18.82,2024-04-27 15:57:02
106,217,324,6,Data_Upload,Mid-End,Slow,1.62,6230655343,33.29,40.61,3.25,18849,Yes,Yes,Yes,12.37,2024-06-03 16:26:17
107,1381,430,4,Data_Upload,Mid-End,Static,2.35,4231662579,56.69,48.45,4.17,6784,Yes,Yes,Yes,15.05,2024-02-22 09:01:33
108,646,328,9,Video_Stream,Low-End,Static,3.9,3204836167,66.01,31.87,4.28,10262,Yes,Yes,No,18.08,2024-03-20 02:19:52
109,1005,477,2,Data_Upload,Low-End,Slow,1.53,2269931187,47.81,36.43,4.76,14080,Yes,Yes,No,13.26,2024-04-18 00:45:57
110,1310,375,6,Health_Monitor,Mid-End,Static,0.85,7319533102,88.9,43.72,3.65,30251,Yes,Yes,Yes,14.66,2024-06-21 20:10:03
111,1503,362,10,Video_Stream,Low-End,Slow,1.8,8221039069,57.11,42.8,3.72,10092,Yes,Yes,Yes,10.24,2024-03-21 21:25:28
112,546,269,6,Video_Stream,Low-End,Slow,1.23,4293992765,13.22,37.34,2.67,13486,Yes,Yes,No,19.92,2024-03-19 00:15:42
113,723,166,4,Control_Command,Mid-End,Slow,4.68,6552336764,30.07,27.51,2.94,5659,Yes,Yes,No,16.08,2024-02-10 22:58:39
114,1722,36,3,AR_VR_App,Low-End,Slow,4.14,814303315,50.56,17.29,3.13,31201,Yes,Yes,No,19.39,2024-02-07 08:20:07
115,1436,421,3,Control_Command,High-End,Static,3.35,3129586460,72.8,44.47,4.83,20959,Yes,Yes,Yes,4.73,2024-02-09 01:08:37
116,968,426,2,Data_Upload,Mid-End,Slow,4.42,5647284046,29.78,39.95,4.1,23161,Yes,Yes,No,2.9,2024-04-16 02:34:47
117,1355,376,3,Video_Stream,Mid-End,Static,4.12,9905185129,97.86,42.71,4.76,30294,Yes,Yes,Yes,11.66,2024-06-02 08:39:55
118,693,109,4,Video_Stream,Low-End,Static,1.34,9713372772,38.67,11.34,3.28,5986,Yes,Yes,No,15.3,2024-04-03 17:40:24
119,784,243,10,Data_Upload,Mid-End,Static,4.52,3827878919,57.92,19.17,3.32,25627,Yes,Yes,No,17.08,2024-03-17 19:37:58
120,922,491,4,AR_VR_App,Low-End,Fast,2.93,7104964724,11.71,24.12,3.75,22980,Yes,Yes,No,17.35,2024-02-25 20:47:27
121,1473,124,10,Control_Command,High-End,Static,4.13,2131437825,89.64,42.73,4.15,14287,Yes,Yes,Yes,7.52,2024-06-18 17:12:33
122,1721,223,7,AR_VR_App,High-End,Static,4.53,2986709616,81.0,45.18,2.87,24046,Yes,Yes,Yes,15.78,2024-03-25 17:13:13
123,1951,19,4,Data_Upload,Mid-End,Static,1.93,1885564992,27.59,17.82,2.93,19091,Yes,Yes,No,5.25,2024-05-06 06:55:57
124,1021,37,9,Control_Command,Mid-End,Static,1.0,2630308679,93.99,35.89,4.51,22707,Yes,Yes,No,11.59,2024-02-16 03:31:44
125,27,217,8,Control_Command,Low-End,Slow,1.53,8555465403,38.43,8.5,4.66,26543,Yes,Yes,No,6.62,2024-07-09 15:41:38
126,1136,101,1,AR_VR_App,Mid-End,Static,2.42,460114603,72.3,23.43,2.52,23056,Yes,Yes,No,6.55,2024-04-22 15:25:19
127,1516,193,10,AR_VR_App,High-End,Fast,4.18,6194879351,83.71,26.9,4.27,16063,Yes,Yes,No,7.74,2024-05-07 17:00:13
128,1841,85,1,Video_Stream,Low-End,Static,4.37,172676632,76.68,39.45,3.4,23684,Yes,Yes,No,7.88,2024-02-05 23:47:29
129,1161,233,6,Video_Stream,Low-End,Static,0.53,2273409246,92.58,45.14,3.36,18107,Yes,Yes,Yes,8.36,2024-07-06 03:34:59
130,1562,39,4,AR_VR_App,Mid-End,Static,2.8,6585110680,87.78,20.18,3.89,10424,Yes,Yes,No,18.48,2024-02-07 14:39:32
131,262,489,10,Data_Upload,Mid-End,Static,2.38,9247259144,99.52,28.75,4.39,19347,Yes,Yes,No,14.52,2024-04-18 03:58:42
132,647,410,6,AR_VR_App,Mid-End,Static,1.5,526184858,26.44,34.14,4.82,18116,Yes,Yes,No,2.58,2024-03-26 06:58:32
133,1805,42,9,Video_Stream,High-End,Slow,1.04,3703688744,37.43,19.79,2.53,32706,Yes,Yes,No,9.52,2024-03-11 19:31:32
134,689,190,10,Control_Command,Low-End,Static,2.02,5779859284,67.26,49.35,3.17,13279,Yes,Yes,Yes,5.39,2024-05-16 05:06:13
135,522,309,5,Data_Upload,Mid-End,Static,4.74,4077752343,75.97,44.41,3.47,8152,Yes,Yes,Yes,15.12,2024-05-10 06:40:50
136,1323,451,8,Video_Stream,Mid-End,Static,1.95,3505944107,58.11,18.34,2.7,13729,Yes,Yes,No,19.69,2024-04-03 16:50:37
137,1134,306,2,Data_Upload,Mid-End,Slow,2.83,8356798049,16.65,27.86,2.59,12849,Yes,Yes,No,11.23,2024-03-26 02:44:40
138,1457,361,8,Data_Upload,High-End,Static,3.66,5407050742,85.74,15.39,4.98,29824,Yes,Yes,No,19.67,2024-05-15 20:02:12
139,1503,453,8,Control_Command,Mid-End,Static,2.14,5186379757,96.48,28.15,4.11,26497,Yes,Yes,No,7.33,2024-02-17 01:50:30
140,624,107,2,Video_Stream,Mid-End,Static,4.87,9605022710,46.5,35.75,3.17,16841,Yes,Yes,No,12.67,2024-07-07 19:40:55
141,1637,157,7,AR_VR_App,High-End,Slow,4.83,9854141264,30.23,8.85,3.44,12177,Yes,Yes,No,12.04,2024-01-26 03:23:44
142,1810,225,8,Data_Upload,High-End,Slow,1.63,3164276012,11.74,44.16,4.27,12300,Yes,Yes,Yes,16.43,2024-03-23 06:03:18
143,267,386,7,Data_Upload,Mid-End,Fast,2.74,4078033802,31.36,31.72,2.86,22933,Yes,Yes,No,7.07,2024-05-06 17:40:53
144,778,18,6,Control_Command,Mid-End,Slow,1.85,4774803859,72.99,49.53,3.56,4742,Yes,Yes,Yes,7.04,2024-05-25 07:46:56
145,668,60,3,Video_Stream,Low-End,Slow,1.78,331925209,92.04,6.15,4.66,15582,Yes,Yes,No,8.71,2024-05-04 02:08:05
146,1237,372,3,Data_Upload,Low-End,Fast,0.67,5942534795,18.42,42.42,3.18,22175,Yes,Yes,Yes,12.72,2024-03-05 13:47:52
147,1333,142,8,Data_Upload,Mid-End,Slow,3.24,7887391581,59.79,40.64,2.93,21185,Yes,Yes,Yes,4.87,2024-01-23 14:12:53
148,54,118,4,Health_Monitor,Mid-End,Static,2.76,7741150290,72.6,10.98,4.71,18218,Yes,Yes,No,19.21,2024-03-30 16:33:58
149,1689,168,10,Health_Monitor,Low-End,Slow,0.73,3188224697,34.87,20.09,4.88,28598,Yes,Yes,No,10.56,2024-04-05 15:24:04
150,774,192,8,Data_Upload,Low-End,Slow,1.75,2233611368,61.29,44.82,4.7,24814,Yes,Yes,Yes,11.31,2024-07-19 20:14:05
151,1898,286,10,Control_Command,Mid-End,Static,4.59,8866964763,74.37,28.33,4.81,30884,Yes,Yes,No,9.69,2024-07-10 17:43:08
152,395,29,6,AR_VR_App,Mid-End,Static,1.58,6904380122,85.39,23.06,3.52,26416,Yes,Yes,No,9.28,2024-03-02 06:54:50
153,512,157,3,Health_Monitor,Low-End,Static,1.15,6987953812,50.72,45.75,3.67,15939,Yes,Yes,Yes,10.49,2024-04-07 07:55:34
154,801,19,10,Health_Monitor,Mid-End,Static,2.7,3537738485,77.31,9.2,4.05,19197,Yes,Yes,No,6.74,2024-02-06 21:05:14
155,325,494,2,Video_Stream,Mid-End,Slow,4.94,8677143353,37.16,26.29,2.65,18734,Yes,Yes,No,5.09,2024-06-09 02:13:09
156,1762,90,1,AR_VR_App,Mid-End,Static,1.59,3316189465,29.17,34.36,4.2,31646,Yes,Yes,No,10.14,2024-04-12 02:04:52
157,96,110,4,Health_Monitor,High-End,Static,3.52,4358166688,26.86,32.38,3.86,19271,Yes,Yes,No,14.34,2024-02-04 21:16:09
158,174,58,8,AR_VR_App,Mid-End,Fast,3.93,3163252295,42.3,16.89,4.84,18636,Yes,Yes,No,8.74,2024-05-24 18:18:29
159,344,116,4,AR_VR_App,Mid-End,Static,1.57,804506629,13.23,30.35,3.86,18111,Yes,Yes,No,4.39,2024-06-06 05:43:55
160,205,40,8,Video_Stream,Mid-End,Slow,3.78,7263048653,35.47,36.89,4.98,27907,Yes,Yes,No,11.67,2024-02-06 18:29:22
161,55,265,8,Data_Upload,Low-End,Slow,2.16,4649823062,68.7,31.32,4.92,21917,Yes,Yes,No,11.67,2024-02-12 06:45:56
162,1771,121,1,Data_Upload,High-End,Slow,3.35,8187936266,68.31,35.8,3.5,25451,Yes,Yes,No,5.46,2024-02-09 21:39:52
163,710,110,6,Health_Monitor,High-End,Static,3.35,2578375934,16.62,16.52,2.59,8245,Yes,Yes,No,8.5,2024-02-09 08:33:48
164,226,364,10,Video_Stream,Mid-End,Static,2.91,7920747316,35.87,42.48,4.52,26909,Yes,Yes,Yes,16.31,2024-05-05 04:21:53
165,1331,205,8,Health_Monitor,High-End,Slow,0.91,5472946021,61.26,25.24,4.63,12015,Yes,Yes,No,3.06,2024-06-16 08:57:51
166,1305,486,8,Health_Monitor,Mid-End,Slow,4.26,4728393721,38.67,49.43,3.88,12588,Yes,Yes,Yes,4.16,2024-06-19 21:38:44
167,1641,159,1,Data_Upload,Mid-End,Static,1.94,7459263036,47.62,6.05,4.33,28176,Yes,Yes,No,14.76,2024-02-02 22:33:03
168,1815,334,8,Video_Stream,Low-End,Static,1.34,4410332712,74.15,22.11,3.69,8671,Yes,Yes,No,12.52,2024-02-12 15:15:48
169,1714,95,9,AR_VR_App,Mid-End,Static,0.68,4594861618,10.83,13.12,4.08,15746,Yes,Yes,No,12.63,2024-07-09 21:15:03
170,302,399,6,Data_Upload,High-End,Static,3.16,6187631339,34.88,30.0,3.78,27035,Yes,Yes,No,10.51,2024-06-15 19:02:02
171,1229,34,7,Health_Monitor,Low-End,Slow,3.55,4020020976,22.81,15.94,3.7,16320,Yes,Yes,No,4.0,2024-04-12 09:29:39
172,220,242,6,Health_Monitor,Low-End,Static,0.57,928081711,21.48,38.19,4.55,7512,Yes,Yes,No,3.43,2024-03-15 11:26:20
173,1004,318,5,Control_Command,Mid-End,Slow,2.8,1772322868,96.31,44.68,2.95,22430,Yes,Yes,Yes,8.17,2024-03-24 09:40:14
174,428,330,1,Video_Stream,Low-End,Static,1.52,6777358535,43.89,14.49,3.56,28334,Yes,Yes,No,3.49,2024-05-03 04:45:54
175,141,313,2,AR_VR_App,Mid-End,Static,3.4,7833153588,57.44,12.23,4.19,15338,Yes,Yes,No,12.39,2024-07-12 23:30:07
176,455,149,10,AR_VR_App,Low-End,Slow,1.28,1190052557,76.04,44.39,4.96,31244,Yes,Yes,Yes,14.38,2024-04-08 16:38:49
177,1968,103,2,Health_Monitor,High-End,Fast,3.61,6209499727,14.27,21.26,3.93,32250,Yes,Yes,No,13.32,2024-04-12 02:38:28
178,145,310,9,Control_Command,Mid-End,Static,2.24,3478201957,31.69,24.56,3.88,21722,Yes,Yes,No,15.26,2024-01-25 16:41:08
179,969,217,6,Control_Command,Low-End,Slow,4.72,8577740475,84.89,14.94,3.77,30742,Yes,Yes,No,19.16,2024-06-30 20:29:52
180,526,165,3,Video_Stream,Low-End,Static,1.12,8946024281,87.58,24.14,2.63,26371,Yes,Yes,No,19.43,2024-02-17 02:40:02
